Happiness,Productivity
6.177342928,343.3118157
5.199127428,249.4573686
3.060723042,97.72330059
5.750738578,300.3032128
5.195999244,248.6285816
6.705420881,400.4231603
5.949730517,320.1698119
5.561391152,282.3984891
9.383999937,758.0889036
4.581984891,198.374814
2.375958919,64.58275788
6.468492646,373.252905
9.361467165,754.6771096
2.224548778,58.26872558
1.294043786,25.89127785
6.288338856,355.6716109
2.549088952,71.12640089
1.782914883,40.68552564
8.310366867,600.7482259
6.458964942,373.3716516
8.565295005,636.5947682
6.075511766,332.4278767
1.900057009,45.24638756
7.782426031,529.992795
3.345455083,113.0272683
8.687641591,654.4154885
9.17836104,726.306266
7.56801825,503.4934776
4.758394521,211.9725225
2.425455909,66.39985965
4.679909481,205.5782676
2.81183997,83.51334583
9.078537449,710.8993955
3.013501993,94.94459525
5.260530141,253.9904215
2.967050898,92.28473755
7.661240164,515.3772771
1.295763082,26.21618193
3.803646667,142.4851767
8.934371651,689.5798844
7.564387408,503.4593943
1.228426193,24.75503971
9.8869331,838.5484219
2.133820208,53.36425451
8.661083595,651.274463
8.637190453,647.3576244
7.944777421,550.7935803
1.90636968,45.07461494
9.996273695,855.9383198
6.052742738,330.7716314
1.748238183,40.78821074
2.03816257,50.78375893
5.754394251,299.9677238
5.935099811,319.3859891
3.216565795,106.1366409
5.900108314,315.0043797
9.22565427,734.558881
2.250839598,59.5283948
4.672986995,204.9725872
4.552139287,195.1223762
6.585309133,385.9002181
1.676807976,36.89341964
7.662338765,515.2140135
5.174094028,246.5049558
3.133298248,100.2554166
5.669713674,291.6774714
5.359266705,264.1807629
2.354139529,63.36516408
1.880870904,44.18820273
3.263091718,107.5469678
5.413090964,268.2226046
1.09084749,22.19854558
9.016337652,702.4375738
1.731436235,40.44552648
6.799068411,411.5233528
1.846472548,42.96579755
2.833838349,85.77157174
3.195874054,105.2281127
9.875669296,836.5120418
9.626689348,795.758072
6.167029459,341.8809601
7.836570424,537.9106858
4.383616243,182.4889195
9.855979636,833.7021127
4.233847271,171.3661436
3.624128899,130.7301544
3.564815766,127.2590329
3.768061536,139.857526
7.069012724,442.3773105
1.385568988,29.94688634
6.927946532,424.7270923
3.137197903,101.3142934
7.397705963,481.096991
6.580030619,386.457691
8.442352674,620.2566135
5.438914456,271.1873809
9.886836887,837.6759964
6.375183601,363.2538367
2.103018093,53.6892212
9.94760521,848.0163438
5.199605113,248.7973557
7.487380281,493.7727141
2.876789513,87.8410984
2.853695014,87.29438532
1.174546926,24.44570382
3.776918287,139.9345026
2.013636625,49.89492452
3.214480969,104.7934065
4.752022072,212.3025747
4.77434448,212.7763506
6.586634312,386.4309622
1.440460719,30.43165946
8.979105404,697.8733364
8.154557595,579.8444599
9.910471952,842.586006
9.062909778,710.1762448
3.53810451,124.935625
4.672530698,205.0233033
9.180688174,727.2757179
5.728657158,298.7681848
1.764430049,41.23044261
7.227800202,461.4745937
3.274452488,109.6601908
8.724462814,660.3980919
8.046309418,564.500667
2.534436601,71.11513125
5.158607936,246.5268784
1.84608573,44.23029035
6.831832469,414.1308655
3.339030279,113.6993797
3.761814398,139.6425004
6.096086565,333.9122012
6.208085784,346.5533004
5.251301326,254.708592
4.485015113,189.4298964
3.519595416,124.1542308
5.162635639,245.2418086
2.030256698,49.41421061
9.74809057,815.5209878
